Model,Subject,single_class,Accuracy,BalAcc,AUC,F1
Logistic Regression (balanced),g1,False,0.5935828877005348,0.4489331251626334,0.48230549050221183,0.5159281894576012
Random Forest (balanced),g1,False,0.5882352941176471,0.6267889669529014,0.6304970075461879,0.5989555416022176
"EBM (Glassbox, balanced)",g1,False,0.5935828877005348,0.4785323965651834,0.5584179026801979,0.5533735351006941
Logistic Regression (balanced),g10,False,0.23616236162361623,0.499479790345694,0.3410808582477768,0.11685097666290381
Random Forest (balanced),g10,False,0.6162361623616236,0.5497928976659272,0.5468188688875365,0.6418879732838779
"EBM (Glassbox, balanced)",g10,False,0.47601476014760147,0.5508136864215465,0.5620031016273729,0.5111601563965166
Logistic Regression (balanced),g11,False,0.25252525252525254,0.49452530815630735,0.5477095899991258,0.11754124506497242
Random Forest (balanced),g11,False,0.4666666666666667,0.4519735116706006,0.4580164350030597,0.5027680693415351
"EBM (Glassbox, balanced)",g11,False,0.3292929292929293,0.5156700760555993,0.49617536497945625,0.28295316804407716
Logistic Regression (balanced),g12,False,0.30844793713163066,0.5214810281517748,0.40485516115871073,0.22512907496250797
Random Forest (balanced),g12,False,0.5166994106090373,0.45614035087719296,0.4486638106895145,0.5444939903266374
"EBM (Glassbox, balanced)",g12,False,0.34970530451866405,0.47742758057935536,0.4772949816401469,0.34177932229542407
Logistic Regression (balanced),g13,False,0.24708171206225682,0.4917120822622108,0.4164318766066839,0.11632579372999317
Random Forest (balanced),g13,False,0.42412451361867703,0.45394344473007714,0.40646786632390747,0.45933869157042767
"EBM (Glassbox, balanced)",g13,False,0.30739299610894943,0.46912082262210797,0.4296349614395887,0.27714257755208327
Logistic Regression (balanced),g2,False,0.8597449908925319,0.8943731840408192,0.9386117213521367,0.8673169151301331
Random Forest (balanced),g2,False,0.7504553734061931,0.6169300545673588,0.8617922188363688,0.7344137936986868
"EBM (Glassbox, balanced)",g2,False,0.8087431693989071,0.7458985897526752,0.882432145135001,0.8089747141755986
Logistic Regression (balanced),g9,False,0.20961538461538462,0.44753412456761743,0.25800037283290866,0.08387771906951212
Random Forest (balanced),g9,False,0.5653846153846154,0.5181341784212598,0.5385260672342013,0.5963994221740699
"EBM (Glassbox, balanced)",g9,False,0.4173076923076923,0.5051368089645601,0.5460759336357422,0.4440368971841623
Logistic Regression (balanced),s14,False,0.2751004016064257,0.5092936001380024,0.38353889943074004,0.16107919073913163
Random Forest (balanced),s14,False,0.5582329317269076,0.49025357943764014,0.4681516301535277,0.5819990927163804
"EBM (Glassbox, balanced)",s14,False,0.3293172690763052,0.4240986717267552,0.4623943419009833,0.33704530054373877
Logistic Regression (balanced),s15,False,0.26953125,0.5054226475279107,0.5815590111642743,0.13298573964209298
Random Forest (balanced),s15,False,0.5390625,0.5015948963317385,0.477511961722488,0.5660547592328096
"EBM (Glassbox, balanced)",s15,False,0.392578125,0.4968500797448166,0.521371610845295,0.399661525431816
Logistic Regression (balanced),s16,False,0.25475285171102663,0.49750038455622214,0.5146323642516537,0.11505330191980219
Random Forest (balanced),s16,False,0.467680608365019,0.41293647131210587,0.3096927395785264,0.5017326388125747
"EBM (Glassbox, balanced)",s16,False,0.3897338403041825,0.5296685125365328,0.5149400092293493,0.3843525457634349
Logistic Regression (balanced),s6,False,0.8245315161839863,0.8007659007659007,0.9016816516816517,0.8318956434787621
Random Forest (balanced),s6,False,0.7955706984667802,0.6799034299034299,0.8959956709956711,0.7893906129365587
"EBM (Glassbox, balanced)",s6,False,0.8568994889267462,0.8404678654678654,0.9234598734598735,0.8622858761881149
Logistic Regression (balanced),s7,False,0.8074866310160428,0.8333653353814644,0.7894905273937534,0.8126320600566854
Random Forest (balanced),s7,False,0.6978609625668449,0.584773425499232,0.8307411674347158,0.6496310980239842
"EBM (Glassbox, balanced)",s7,False,0.6631016042780749,0.5897977470558116,0.78376216077829,0.647635885990823
Logistic Regression (balanced),s8,False,0.8888888888888888,0.9122653438381481,0.9300975910255164,0.8943374450496167
Random Forest (balanced),s8,False,0.8290598290598291,0.6602227409785041,0.9446470836170281,0.8001141864163667
"EBM (Glassbox, balanced)",s8,False,0.8581196581196581,0.7669001069934831,0.9522582109392732,0.8520195396399993
Logistic Regression (balanced),v4,True,1.0,,,1.0
Random Forest (balanced),v4,True,1.0,,,1.0
"EBM (Glassbox, balanced)",v4,True,1.0,,,1.0
Logistic Regression (balanced),v5,True,0.38095238095238093,,,0.5517241379310345
Random Forest (balanced),v5,True,0.6,,,0.75
"EBM (Glassbox, balanced)",v5,True,0.45714285714285713,,,0.6274509803921569
