Model,Subject,single_class,Accuracy,BalAcc,AUC,F1,Infer_ms_per_sample,Acc_drop,F1_drop,AUC_drop,Train_s
1D-CNN (raw signal),g1,False,0.32620320855614976,0.5,0.7496747332812908,0.16047093324133171,0.05827326188112963,0.0,0.0,0.31667967733541513,32.835113199893385
1D-CNN (raw signal),g10,False,0.7767527675276753,0.5,0.7527924461632084,0.6791545485548313,0.07557214024679468,0.0,0.0,0.16010679020828011,30.697074300143868
1D-CNN (raw signal),g11,False,0.7515151515151515,0.5,0.22858204388495498,0.6448988151410296,0.06834727269832534,0.0,0.0,-0.21059533175976922,30.38573889993131
1D-CNN (raw signal),g12,False,0.7465618860510805,0.5,0.5545695634434925,0.6382306337444559,0.07431748485986751,0.0,0.0,0.03435332517339862,29.77969430014491
1D-CNN (raw signal),g13,False,0.7568093385214008,0.5,0.7073727506426735,0.6520461410516609,0.06635389145797096,0.0,0.0,0.18961439588688933,35.195662800222635
1D-CNN (raw signal),g2,False,0.7504553734061931,0.5,0.8358550067323365,0.6434705803191499,0.061723496934538116,0.0,0.0,-0.07669548579122676,29.728253799956292
1D-CNN (raw signal),g9,False,0.7673076923076924,0.5,0.4350960044739949,0.6662802377165815,0.06712769211914676,0.0,0.0,-0.05638062097392249,29.397217700257897
1D-CNN (raw signal),s14,False,0.751004016064257,0.5,0.3892530619285837,0.6442098669908993,0.06434176655777965,0.0,0.0,-0.10184146972572022,29.902179999742657
1D-CNN (raw signal),s15,False,0.7421875,0.5,0.2887759170653908,0.632357062780269,0.06256660162762273,0.484375,0.5266699509790268,-0.1865629984051036,33.43274060031399
1D-CNN (raw signal),s16,False,0.7490494296577946,0.5,0.2989540070758345,0.6415771201851547,0.0686726237190427,0.0,0.0,-0.22413859406245185,29.102487499825656
1D-CNN (raw signal),s6,False,0.7751277683134583,0.5,0.8654512154512153,0.6769349991988935,0.06922640563250604,0.0,0.0,0.0060439560439558004,30.91969900019467
1D-CNN (raw signal),s7,False,0.6631016042780749,0.5,0.8753200204813109,0.5287755558230307,0.0688254006485888,0.0,0.0,0.027329749103942813,37.053354599978775
1D-CNN (raw signal),s8,False,0.764102564102564,0.5,0.9073371591609117,0.6619260584376864,0.0650748713976807,-0.05470085470085473,-0.14319123561577785,-0.011574749537982654,35.6234659999609
1D-CNN (raw signal),v4,True,1.0,,,1.0,0.07172338589425048,0.0,0.0,,36.24443570012227
1D-CNN (raw signal),v5,True,1.0,,,1.0,0.0815647609886669,0.0,0.0,,34.141205499880016
