Model,Subject,single_class,Accuracy,BalAcc,AUC,F1,Infer_ms_per_sample,Acc_drop,F1_drop,AUC_drop,Train_s
"1D-CNN (raw signal, class-weighted)",g1,False,0.6524064171122995,0.48412698412698413,0.6627634660421545,0.5320596023051762,0.0564160428064711,-0.016042780748663055,-0.007841672890216644,0.19463960447567002,35.753352200146765
"1D-CNN (raw signal, class-weighted)",g10,False,0.22693726937269373,0.502375296912114,0.6906813764943759,0.08907865980195194,0.06915295214780583,-0.551660516605166,-0.5944416613083516,0.08602108321391422,33.30467480001971
"1D-CNN (raw signal, class-weighted)",g11,False,0.24848484848484848,0.5,0.24648133578109974,0.09891144454251251,0.06182686886703125,-0.004040404040404066,-0.008358736257080057,-0.18152810560363666,29.614926300011575
"1D-CNN (raw signal, class-weighted)",g12,False,0.25343811394891946,0.5,0.5958282333741332,0.10248751316429658,0.06068939130848423,-0.41257367387033395,-0.528689258736862,0.07398000815993488,31.19166269991547
"1D-CNN (raw signal, class-weighted)",g13,False,0.24319066147859922,0.5,0.6838046272493573,0.09514501622793396,0.07964669208582273,-0.08171206225680935,-0.19578758723177536,0.19056041131105395,33.238824100233614
"1D-CNN (raw signal, class-weighted)",g2,False,0.8542805100182149,0.9029126213592233,0.8197328325419885,0.8629116079303856,0.06832750446293741,0.060109289617486295,0.08116897279615776,-0.08266600524413592,33.28324169991538
"1D-CNN (raw signal, class-weighted)",g9,False,0.19423076923076923,0.414476273327948,0.36819321029847346,0.07882846530788389,0.07041903893248393,-0.4307692307692308,-0.5535231604356646,-0.12922802874955985,31.495619900058955
"1D-CNN (raw signal, class-weighted)",s14,False,0.24899598393574296,0.5,0.42718216318785573,0.09927814150492646,0.4958361443356577,-0.006024096385542188,-0.015849732280297957,-0.09086596515439027,64.68704720027745
"1D-CNN (raw signal, class-weighted)",s15,False,0.2578125,0.5,0.30518341307814995,0.10568711180124224,0.06120234320405871,0.0,0.0,-0.1700757575757575,57.472606299910694
"1D-CNN (raw signal, class-weighted)",s16,False,0.2509505703422053,0.5,0.28568681741270574,0.10068533521328603,0.06405190129130513,-0.31178707224334606,-0.48984539073761946,-0.2463659437009692,69.8852309002541
"1D-CNN (raw signal, class-weighted)",s6,False,0.8500851788756388,0.9032967032967033,0.8504828504828505,0.8607998938890892,0.06530494024593135,0.06473594548551953,0.11493439830866803,0.0030719280719280206,57.29317060019821
"1D-CNN (raw signal, class-weighted)",s7,False,0.8048128342245989,0.8469662058371736,0.8428379416282641,0.8100686577544406,0.06408743276435105,0.14171122994652408,0.2812931019314099,-0.02451356886840761,54.68118630023673
"1D-CNN (raw signal, class-weighted)",s8,False,0.8803418803418803,0.9116817430211068,0.9189443309665077,0.8868580260961918,0.06883641004435018,0.017094017094017033,0.017173750747973227,0.0012320461693089424,58.51872759964317
"1D-CNN (raw signal, class-weighted)",v4,True,1.0,,,1.0,0.08497500206313786,0.10483870967741937,0.05531914893617018,,64.59813529998064
"1D-CNN (raw signal, class-weighted)",v5,True,0.0761904761904762,,,0.1415929203539823,0.07993904873728752,-0.7809523809523808,-0.7814840027229408,,74.80252340016887
