Model,Subject,single_class,Accuracy,BalAcc,AUC,F1,Acc_drop,F1_drop,AUC_drop,Infer_ms_per_sample,Train_ms
Logistic Regression,g1,False,0.32620320855614976,0.5,0.46708300806661457,0.16047093324133171,-0.0962566844919786,-0.253653329397182,-0.03096539162112938,0.0010524063376102218,7.722499984083697
Random Forest,g1,False,0.45454545454545453,0.5825526932084308,0.6428571428571428,0.4068133701161224,0.06951871657754011,0.09919044108868447,0.05490502211813675,0.09754438508541029,214.450899977237
Gradient Boosting,g1,False,0.40106951871657753,0.5513270882123341,0.5314858183710642,0.311077232341124,-0.06951871657754011,-0.16141879309607798,-0.005854800936768156,0.002832620412131204,1139.4618000194896
CatBoost,g1,False,0.43315508021390375,0.5624512099921937,0.5951079885506114,0.3790471560525036,0.0,-0.04843039091033746,0.06804579755399431,0.007940641788636299,1621.3881000003312
EBM (Glassbox),g1,False,0.4385026737967914,0.570647931303669,0.5789747593026282,0.3826070123647978,0.04278074866310155,0.0574337638911151,0.030965391621129323,0.003626738036210763,15145.687399985036
SVM (RBF Kernel),g1,False,0.32620320855614976,0.5,0.6236013531095499,0.16047093324133171,0.0,0.0,0.14682539682539691,0.13237540114591306,2816.4425999857485
MLP Neural Network,g1,False,0.39572192513368987,0.5515873015873016,0.5,0.2953819809097539,0.026737967914438554,0.008781937470998091,0.07364038511579496,0.002271123012567666,2633.7006999820005
RFF + Ridge (Proposed),g1,False,0.32620320855614976,0.5,0.36638043195420245,0.16047093324133171,-0.0802139037433155,-0.19629073774942107,-0.08938329430132713,0.03333315520950737,1330.1184000156354
SCN (Stochastic Config),g1,False,0.32620320855614976,0.5,0.5871714806141035,0.16047093324133171,-0.04278074866310155,-0.17550749300995067,0.1488420504813947,0.020289839523032625,2369.506899995031
Logistic Regression,g10,False,0.7767527675276753,0.5,0.34406470230266384,0.6791545485548313,0.19372693726937273,0.06698701892840431,-0.19118195559568918,0.0003634686100664394,6.457500014221296
Random Forest,g10,False,0.7103321033210332,0.5220254804577845,0.5719557919946605,0.6875138792462281,0.09409594095940965,0.06218517935728751,0.08795469268369294,0.058247232457409814,204.5466999989003
Gradient Boosting,g10,False,0.7601476014760148,0.5128678274867002,0.5517461376886986,0.6935659151258101,0.32103321033210336,0.21174299466620178,0.09480575567813743,0.0013747232441182122,1097.9913999908604
CatBoost,g10,False,0.7472324723247232,0.5340001177833179,0.5762156219940716,0.7063975007687237,0.1771217712177121,0.11542428888259648,0.13321293260831168,0.00509557193291212,1630.4157999984454
EBM (Glassbox),g10,False,0.7490774907749077,0.5292986003415716,0.556506546789423,0.7039503114931336,0.03874538745387446,0.034510921707402664,0.057360475844604464,0.0017381918541846514,19000.09640000644
SVM (RBF Kernel),g10,False,0.7767527675276753,0.5,0.5516185390942463,0.6791545485548313,0.0,0.0,-0.003405900944229656,0.1858442804730597,3159.8887000000104
MLP Neural Network,g10,False,0.7601476014760148,0.5570365717202254,0.5977895997330245,0.7238923793422956,0.07011070110701112,0.03769534361628213,0.046661824463595125,0.0012234317605311525,6846.9581999816
RFF + Ridge (Proposed),g10,False,0.7767527675276753,0.5,0.5726624919023969,0.6791545485548313,0.14575645756457567,0.031189851154368786,-0.001884533087296969,0.014178597763940225,1205.9616000042297
SCN (Stochastic Config),g10,False,0.7767527675276753,0.5,0.634066861663493,0.6791545485548313,0.08302583025830257,-0.007673837805766248,0.07114112404546424,0.020888007380844977,2087.243699992541
Logistic Regression,g11,False,0.7515151515151515,0.5,0.5640571728297927,0.6448988151410296,0.18585858585858583,0.05548687582137335,0.019888102106827343,0.0004096969731641237,11.343999998643994
Random Forest,g11,False,0.696969696969697,0.5262916338840807,0.48926916688521727,0.6678591289962288,0.042424242424242475,0.015744175271937055,-0.08886266282017652,0.05678969695270438,198.3034000149928
Gradient Boosting,g11,False,0.7292929292929293,0.49337791765014427,0.4683210945012677,0.6436903488668194,0.2565656565656566,0.13753529766336914,-0.041983564996940226,0.0011858585610458948,1069.799699995201
CatBoost,g11,False,0.692929292929293,0.501835824809861,0.49219774455809073,0.6511000550604511,0.12727272727272732,0.06084353640535123,-0.03158055774106128,0.004341414097150919,1435.7415999984369
EBM (Glassbox),g11,False,0.7131313131313132,0.4935090479937057,0.503234548474517,0.6458592566506236,0.0,-0.02448865709132353,-0.024127983215316062,0.0014250504788989671,10903.463499998907
SVM (RBF Kernel),g11,False,0.7515151515151515,0.5,0.5361264096511933,0.6448988151410296,0.0,0.0,-0.014304134976833582,0.1347333333346842,3048.1293000048026
MLP Neural Network,g11,False,0.7474747474747475,0.5000327825858903,0.4470670513156745,0.6465761620732834,0.06868686868686869,-0.008478846612298585,-0.1445493487192937,0.001202626306695318,3637.10560000618
RFF + Ridge (Proposed),g11,False,0.7515151515151515,0.5,0.4374071160066439,0.6448988151410296,0.06666666666666665,-0.026647820041969306,-0.1342774718069762,0.01274040403935795,972.4767999723554
SCN (Stochastic Config),g11,False,0.7515151515151515,0.5,0.4075968179036629,0.6448988151410296,0.06868686868686869,-0.018748923492868164,-0.12208234985575656,0.015534747467197553,1944.585699995514
Logistic Regression,g12,False,0.7465618860510805,0.5,0.38718890248878013,0.6382306337444559,0.1532416502946955,0.0280565643633105,-0.11501427988576085,0.0004190569633731439,9.370000014314428
Random Forest,g12,False,0.6424361493123772,0.47634638922888617,0.4616789065687474,0.6185712225807033,0.02161100196463661,0.0046174118979708245,-0.042350061199510514,0.05599744598498323,211.89519998733886
Gradient Boosting,g12,False,0.6954813359528488,0.48371073031415746,0.45552835577315376,0.631258652990876,0.20432220039292737,0.10814514925095042,-0.046695226438188575,0.001416699448508926,1122.4692999967374
CatBoost,g12,False,0.630648330058939,0.483812729498164,0.43627090983272143,0.6186282699692842,0.03929273084479368,0.017309689284178975,-0.07370461036311704,0.003478192545433322,1695.730800012825
EBM (Glassbox),g12,False,0.6836935166994106,0.4886168910648715,0.4721338229294166,0.6351468703023077,-0.02161100196463661,-0.01146238996326665,-0.005936352509179954,0.0013009823327207084,16697.914599993965
SVM (RBF Kernel),g12,False,0.7465618860510805,0.5,0.5197878416972663,0.6382306337444559,0.0,0.0,0.03814769481844138,0.13467544203300272,2691.006399982143
MLP Neural Network,g12,False,0.7347740667976425,0.5074663402692778,0.6009791921664627,0.6515379050011529,0.13555992141453832,0.055525362397998546,0.1092207262341901,0.0011575638594687688,4006.921499996679
RFF + Ridge (Proposed),g12,False,0.7465618860510805,0.5,0.6028355773153815,0.6382306337444559,0.0766208251473477,0.002714765042134304,0.04806201550387601,0.010470137542593046,1213.6413999833167
SCN (Stochastic Config),g12,False,0.7465618860510805,0.5,0.5850061199510403,0.6382306337444559,0.13555992141453832,0.025288313787933614,0.073765809873521,0.01393850683051661,2026.9769000005908
Logistic Regression,g13,False,0.7568093385214008,0.5,0.4145192802056555,0.6520461410516609,0.15953307392996108,0.03585118946518229,-0.11438560411311055,0.0005566148342861856,11.730500002158806
