Subject,single_class,Accuracy,BalAcc,AUC,F1
g1,False,0.37967914438502676,0.5312256049960968,0.47189695550351285,0.28000365647424474
g10,False,0.7343173431734318,0.5345203274376239,0.6010679020828016,0.7026061962609711
g11,False,0.6909090909090909,0.4705612378704432,0.48378354751289454,0.6251628059358694
g12,False,0.618860510805501,0.44007547939616487,0.3805385556915545,0.5901071364986208
g13,False,0.6828793774319066,0.4783033419023136,0.5044730077120823,0.637399479306045
g2,False,0.7522768670309654,0.5036496350364964,0.8142406633123095,0.6477574509648636
g9,False,0.6826923076923077,0.5254769154290686,0.4837921249404503,0.6716846501914375
s14,False,0.7590361445783133,0.5538640676211833,0.5845911678454373,0.7011783397325566
s15,False,0.65234375,0.49880382775119614,0.5106060606060607,0.6313935419300464
s16,False,0.7034220532319392,0.49725042301184436,0.5374557760344563,0.6463681824140893
s6,False,0.82793867120954,0.7169164169164168,0.840975690975691,0.820616714713722
s7,False,0.7834224598930482,0.7839861751152073,0.8356694828469022,0.7876679099879983
s8,False,0.764102564102564,0.5,0.12770320656226697,0.6619260584376864
v4,True,0.7338709677419355,,,0.8465116279069768
v5,True,1.0,,,1.0
