Subject,single_class,AUC_agnostic,AUC_personalized,BalAcc_agnostic,BalAcc_personalized
g1,False,0.579,0.4719,0.5706,0.5312
g10,False,0.5565,0.6011,0.5293,0.5345
g11,False,0.5032,0.4838,0.4935,0.4706
g12,False,0.4721,0.3805,0.4886,0.4401
g13,False,0.4355,0.5045,0.4705,0.4783
g2,False,0.8783,0.8142,0.4952,0.5036
g9,False,0.5633,0.4838,0.5436,0.5255
s14,False,0.4666,0.5846,0.5592,0.5539
s15,False,0.5171,0.5106,0.5144,0.4988
s16,False,0.5365,0.5375,0.4731,0.4973
s6,False,0.9115,0.841,0.6397,0.7169
s7,False,0.7795,0.8357,0.4998,0.784
s8,False,0.9536,0.1277,0.551,0.5
v4,True,,,,
v5,True,,,,
