Model,fold,Accuracy,BalAcc,AUC
Logistic Regression,0,0.7481146304675717,0.5,0.6301097401970253
Random Forest,0,0.7677224736048266,0.59651463202627,0.7669952433841993
Gradient Boosting,0,0.7745098039215687,0.5692757629901488,0.7734224092138304
CatBoost,0,0.7782805429864253,0.6065500048290515,0.7774199584701564
EBM (Glassbox),0,0.77526395173454,0.5936111647672397,0.7848355707938961
SVM (RBF Kernel),0,0.7481146304675717,0.5,0.7190955790032838
MLP Neural Network,0,0.7699849170437406,0.5612867007919644,0.745928505891443
RFF + Ridge (Proposed),0,0.7481146304675717,0.5,0.6725842669499711
SCN (Stochastic Config),0,0.7481146304675717,0.5,0.7448238603438284
Logistic Regression,1,0.748868778280543,0.5,0.6459268936610326
Random Forest,1,0.7745098039215687,0.5969579851755078,0.7677390381317873
Gradient Boosting,1,0.755656108597285,0.5434528183772896,0.7605384841034386
CatBoost,1,0.7654600301659125,0.5879217586166227,0.7578061445130932
EBM (Glassbox),1,0.7647058823529411,0.5634667900528928,0.7726397091956004
SVM (RBF Kernel),1,0.748868778280543,0.5,0.69055460294131
MLP Neural Network,1,0.7609351432880844,0.5290139081679867,0.7238719081619384
RFF + Ridge (Proposed),1,0.748868778280543,0.5,0.6632886663098143
SCN (Stochastic Config),1,0.748868778280543,0.5,0.7251299638006588
Logistic Regression,2,0.7486792452830189,0.5,0.6274157221737866
Random Forest,2,0.7471698113207547,0.566819844037586,0.7383542817010559
Gradient Boosting,2,0.7577358490566037,0.5469446260776907,0.7404824179017726
CatBoost,2,0.76,0.5883554925893636,0.7503995931415286
EBM (Glassbox),2,0.7637735849056604,0.5689313305240724,0.7557819916690884
SVM (RBF Kernel),2,0.7486792452830189,0.5,0.6891104814491911
MLP Neural Network,2,0.759245283018868,0.5359830596725758,0.73690424295263
RFF + Ridge (Proposed),2,0.7486792452830189,0.5,0.6837795456747069
SCN (Stochastic Config),2,0.7486792452830189,0.5,0.7359446139688075
Logistic Regression,3,0.7486792452830189,0.5,0.6175348735832606
Random Forest,3,0.7615094339622641,0.5923559648358036,0.7408608204979172
Gradient Boosting,3,0.759245283018868,0.5559324445413155,0.751503015111886
CatBoost,3,0.7705660377358491,0.6053866366366366,0.7506357163615229
EBM (Glassbox),3,0.7713207547169811,0.5919260994865834,0.7660018889857598
SVM (RBF Kernel),3,0.7486792452830189,0.5,0.7321272885789015
MLP Neural Network,3,0.7683018867924528,0.5669681778552746,0.7428618134263296
RFF + Ridge (Proposed),3,0.7486792452830189,0.5,0.6635789014821273
SCN (Stochastic Config),3,0.7486792452830189,0.5,0.7450323307178146
Logistic Regression,4,0.7486792452830189,0.5,0.6068881381381381
Random Forest,4,0.7864150943396226,0.6289384142206723,0.745863302818948
Gradient Boosting,4,0.7735849056603774,0.5665065266879783,0.7285173278116827
CatBoost,4,0.7811320754716982,0.6154354959798508,0.7432825971132424
EBM (Glassbox),4,0.7758490566037736,0.5909604160612225,0.7380485324033712
SVM (RBF Kernel),4,0.7486792452830189,0.5,0.7023091640027124
MLP Neural Network,4,0.7637735849056604,0.5479844764118957,0.7129801172139882
RFF + Ridge (Proposed),4,0.7486792452830189,0.5,0.6614114114114114
SCN (Stochastic Config),4,0.7486792452830189,0.5,0.7116935483870968
