metric,pair,n,median_d,mean_d,p,p_holm
AUC,SCN vs EBM,13,-0.012320788530466031,-0.01669792901921157,0.587890625,1.0
AUC,CatBoost vs EBM,13,-0.004198683655935009,-0.009044354572650123,0.541748046875,1.0
AUC,SCN vs CatBoost,13,-0.013401271774477586,-0.0076535744465614465,0.892578125,1.0
AUC,EBM vs Logistic,13,0.021278721278721324,0.05443099377351793,0.10986328125,0.54931640625
AUC,SCN vs Logistic,13,0.013082384982005646,0.037733064754306364,0.414306640625,1.0
F1,SCN vs EBM,15,-0.009755905997942627,-0.026321278042775686,0.153076171875,0.765380859375
F1,CatBoost vs EBM,15,0.002447189275590067,0.002345065619025873,0.7353515625,1.0
F1,SCN vs CatBoost,15,-0.006742009051853737,-0.02866634366180156,0.172607421875,0.765380859375
F1,EBM vs Logistic,15,0.009755905997942627,0.024022427468063046,0.172607421875,0.765380859375
F1,SCN vs Logistic,15,0.0,-0.002298850574712641,1.0,1.0
